Date,Open,High,Low,Close,Adj Close,Volume,Return
4/8/20,110.839996,111.44162,106.666,109.767998,109.767998,63280120,0.678002
4/9/20,112.417999,115.036362,111.421997,114.599998,114.599998,68250000,4.832
4/13/20,118.031998,130.399994,116.106003,130.190002,130.190002,112377105,15.590004
4/14/20,139.794006,148.376007,138.485992,141.977997,141.977997,152882555,11.787995
4/15/20,148.399994,150.626007,142,145.966003,145.966003,117885005,3.988006
4/16/20,143.388,151.889999,141.343002,149.042007,149.042007,103289310,3.076004
4/17/20,154.455994,154.990005,149.531998,150.778,150.778,65641185,1.735993
4/20/20,146.539993,153.113998,142.442001,149.272003,149.272003,73732885,-1.505997
4/21/20,146.024002,150.666,134.757996,137.343994,137.343994,101045465,-11.928009
4/22/20,140.796005,146.800003,137.742004,146.421997,146.421997,71124155,9.078003
4/23/20,145.520004,146.800003,140.626007,141.126007,141.126007,66183485,-5.29599
4/24/20,142.162003,146.145996,139.636002,145.029999,145.029999,66188060,3.903992
4/27/20,147.522003,159.897995,147,159.75,159.75,103407210,14.720001
4/28/20,159.128006,161,151.337997,153.824005,153.824005,76109820,-5.925995
4/29/20,158.033997,160.639984,156.632004,160.102005,160.102005,81079910,6.278
4/30/20,171.037994,173.964005,152.699997,156.376007,156.376007,142359270,-3.725998
5/1/20,151,154.554001,136.608002,140.264008,140.264008,162659035,-16.111999
5/4/20,140.199997,152.399994,139.600006,152.238007,152.238007,96185450,11.973999
5/5/20,157.957993,159.783997,152.436005,153.641998,153.641998,84958280,1.403991
5/6/20,155.300003,157.960007,152.222,156.516006,156.516006,55616155,2.874008
5/7/20,155.442001,159.279999,154.470001,156.007996,156.007996,57638430,-0.50801
5/8/20,158.753998,164.800003,157.401993,163.884003,163.884003,80650435,7.876007
5/11/20,158.102005,164.800003,157,162.257996,162.257996,82598005,-1.626007
5/12/20,165.399994,168.658005,161.600006,161.882004,161.882004,79534525,-0.375992
5/13/20,164.166,165.199997,152.660004,158.192001,158.192001,95327455,-3.690003
5/14/20,156,160.671997,152.800003,160.666,160.666,68410940,2.473999
5/15/20,158.070007,161.00972,157.310394,159.834,159.834,52592140,-0.832
5/18/20,165.556,166.944016,160.776001,162.725998,162.725998,58490510,2.891998
5/19/20,163.033997,164.414001,161.216003,161.602005,161.602005,48182610,-1.123993
5/20/20,164.100006,165.199997,162.360001,163.112,163.112,36546355,1.509995
5/21/20,163.199997,166.5,159.199997,165.520004,165.520004,61272920,2.408004
5/22/20,164.434692,166.356003,162.399994,163.376007,163.376007,49937375,-2.143997
