Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,146.100006,149.570007,145.000000,145.289993,140.277924,4689124
2020-04-02,143.020004,150.453003,141.669998,149.929993,144.757858,4446911
2020-04-03,149.199997,150.919495,145.229996,146.929993,141.861343,2801582
2020-04-06,155.470001,158.929993,153.770004,158.229996,152.771530,4689431
2020-04-07,166.000000,169.138794,162.449997,166.020004,160.292801,4953506
2020-04-08,168.550003,178.097397,168.550003,176.960007,170.855438,5194782
2020-04-09,180.580002,187.328003,179.770004,184.259995,177.903580,6449870
2020-04-13,183.850006,184.970001,179.130005,179.179993,172.998810,4774325
2020-04-14,182.350006,183.380005,174.542999,178.229996,172.081573,4149605
2020-04-15,170.630005,181.679993,169.149994,178.520004,172.361588,6042720
2020-04-16,177.220001,178.440002,172.389999,177.039993,170.932617,4662186
2020-04-17,183.490005,185.279999,178.289993,183.490005,177.160141,5426703
2020-04-20,179.699997,186.320007,178.022095,180.399994,174.176743,4674763
2020-04-21,175.440002,179.199997,173.660004,173.809998,167.814072,3818970
2020-04-22,177.500000,178.179993,174.470001,175.979996,169.909225,2316558
2020-04-23,177.000000,179.070007,174.449997,175.050003,169.011292,2013306
2020-04-24,177.000000,177.949997,173.490005,177.000000,170.894043,2024646
2020-04-27,179.100006,184.250000,178.720001,183.539993,177.208420,2743124
2020-04-28,189.160004,190.419998,184.869995,187.009995,180.558716,3344730
2020-04-29,192.610001,193.720001,189.570007,190.029999,183.474548,3086258
2020-04-30,186.000000,187.550003,182.899902,183.419998,177.092560,2695447
2020-05-01,179.000000,179.595001,176.649994,177.100006,170.990585,2650183
2020-05-04,175.000000,176.309998,171.720001,176.029999,169.957489,2990142
2020-05-05,179.100006,182.600006,178.139999,178.300003,172.149200,3272990
2020-05-06,179.679993,181.199997,175.211502,176.919998,170.816788,2408676
2020-05-07,179.179993,183.380005,179.179993,182.320007,176.030487,2480533
2020-05-08,185.029999,185.910004,182.740005,185.389999,178.994583,2282566
2020-05-11,182.539993,184.850006,181.259995,183.160004,176.841537,2212324
2020-05-12,183.889999,184.300003,176.750000,177.210007,171.096786,3549190
2020-05-13,175.660004,176.880005,170.759995,171.800003,165.873428,3445251
2020-05-14,169.039993,174.779999,165.360001,174.449997,168.431992,4176657
2020-05-15,173.479996,174.089996,170.580002,171.869995,165.940994,2867769
2020-05-18,177.710007,183.100006,175.240005,181.880005,175.605713,4512571
2020-05-19,180.559998,182.184998,177.720001,177.830002,171.695404,2210480
2020-05-20,180.949997,183.830002,180.300003,181.440002,175.180862,2599855
2020-05-21,180.199997,181.169998,177.679993,180.100006,173.887085,2153769
2020-05-22,180.029999,180.639999,178.059998,179.929993,173.722946,2176407
2020-05-26,185.630005,197.100006,185.220001,196.059998,189.296524,5971201
2020-05-27,203.000000,210.710007,200.009995,209.660004,202.427353,8182053
2020-05-28,210.839996,211.309998,201.210007,201.220001,194.278503,4890687
2020-05-29,197.229996,200.919998,194.649994,196.490005,190.897583,3824488
2020-06-01,197.309998,201.770004,195.119995,199.929993,194.239624,2235963
2020-06-02,203.770004,206.500000,201.320007,204.139999,198.329849,4128686
2020-06-03,208.490005,211.929993,206.429993,210.570007,204.576828,3471886
2020-06-04,208.789993,214.990005,207.960007,214.820007,208.705841,3522252
2020-06-05,222.000000,222.979996,217.660004,217.919998,211.717636,4737626
2020-06-08,220.020004,222.264603,218.240005,220.809998,214.525375,3260307
2020-06-09,215.740005,220.020004,215.160004,218.100006,211.892517,2478365
2020-06-10,217.389999,219.849899,212.800003,213.520004,207.442856,3091188
2020-06-11,204.699997,206.899994,194.020004,194.130005,188.604736,4923410
2020-06-12,200.619995,202.940002,196.210007,201.779999,196.036987,3380817
2020-06-15,195.729996,206.993195,195.149994,206.309998,200.438080,3468788
2020-06-16,214.979996,214.979996,203.729996,209.589996,203.624710,3103691
2020-06-17,210.000000,210.789993,205.440002,206.190002,200.321487,1798324
2020-06-18,203.990005,207.259995,202.669998,203.839996,198.038345,2051659
2020-06-19,207.050003,207.422806,200.970001,201.630005,195.891251,4962438
2020-06-22,200.990005,204.580002,200.000000,203.419998,197.630310,1806868
2020-06-23,206.500000,207.509995,203.639999,204.779999,198.951614,2451825
2020-06-24,202.339996,202.610001,197.380096,198.020004,192.384018,2756726
2020-06-25,197.860001,207.389999,197.610001,207.100006,201.205582,3466472
