date,status,value
2021-04-11T21:15Z,200,8939
2021-04-11T21:15Z,304,3712
2021-04-11T21:15Z,404,1530
2021-04-11T21:30Z,200,8166
2021-04-11T21:30Z,304,3365
2021-04-11T21:30Z,404,1260
2021-04-11T21:45Z,200,8821
2021-04-11T21:45Z,304,4189
2021-04-11T21:45Z,404,1573
2021-04-11T21:45Z,302,431
2021-04-11T22:00Z,200,7531
2021-04-11T22:00Z,304,3688
2021-04-11T22:00Z,404,1432
2021-04-11T22:15Z,200,8181
2021-04-11T22:15Z,304,3237
2021-04-11T22:15Z,404,1398
2021-04-11T22:15Z,302,701
2021-04-11T22:30Z,200,8388
2021-04-11T22:30Z,304,3503
2021-04-11T22:30Z,404,1942
2021-04-11T22:45Z,200,7297
2021-04-11T22:45Z,304,3182
2021-04-11T22:45Z,404,2103
2021-04-11T22:45Z,499,801
2021-04-11T23:00Z,200,7588
2021-04-11T23:00Z,404,4963
2021-04-11T23:00Z,304,3211
2021-04-11T23:00Z,302,58
2021-04-11T23:00Z,500,581
2021-04-11T23:15Z,200,7210
2021-04-11T23:15Z,304,3070
2021-04-11T23:15Z,404,1063
2021-04-11T23:30Z,200,7597
2021-04-11T23:30Z,304,3354
2021-04-11T23:30Z,404,2022
2021-04-11T23:45Z,200,6566
2021-04-11T23:45Z,304,2792
2021-04-11T23:45Z,404,949
2021-04-11T23:45Z,302,463
2021-04-12,200,6732
2021-04-12,304,3865
2021-04-12,404,1233
2021-04-12T00:15Z,200,8394
2021-04-12T00:15Z,304,3198
2021-04-12T00:15Z,404,1728
2021-04-12T00:15Z,499,871
2021-04-12T00:30Z,200,8110
2021-04-12T00:30Z,304,3816
2021-04-12T00:30Z,404,905
2021-04-12T00:30Z,302,826
2021-04-12T00:45Z,200,7915
2021-04-12T00:45Z,304,3942
2021-04-12T00:45Z,404,1005
2021-04-12T00:45Z,302,729
2021-04-12T01:00Z,200,9568
2021-04-12T01:00Z,304,3862
2021-04-12T01:00Z,404,1024
2021-04-12T01:00Z,499,209
2021-04-12T01:15Z,200,8607
2021-04-12T01:15Z,304,4005
2021-04-12T01:15Z,404,1950
2021-04-12T01:30Z,200,7727
2021-04-12T01:30Z,304,3787
2021-04-12T01:30Z,404,1005
2021-04-12T01:45Z,200,8064
2021-04-12T01:45Z,304,3249
2021-04-12T01:45Z,404,1403
2021-04-12T02:00Z,200,8553
2021-04-12T02:00Z,304,4424
2021-04-12T02:00Z,404,973
2021-04-12T02:15Z,200,8774
2021-04-12T02:15Z,304,4711
2021-04-12T02:15Z,404,1495
2021-04-12T02:30Z,200,8326
2021-04-12T02:30Z,304,5304
2021-04-12T02:30Z,404,603
2021-04-12T02:45Z,200,9356
2021-04-12T02:45Z,304,6052
2021-04-12T02:45Z,404,494
2021-04-12T03:00Z,200,7777
2021-04-12T03:00Z,304,4188
2021-04-12T03:00Z,404,442
2021-04-12T03:00Z,302,537
2021-04-12T03:15Z,200,7080
2021-04-12T03:15Z,304,3624
2021-04-12T03:15Z,404,1267
2021-04-12T03:30Z,200,6541
2021-04-12T03:30Z,304,3565
2021-04-12T03:30Z,404,2106
2021-04-12T03:30Z,302,605
2021-04-12T03:45Z,200,11559
2021-04-12T03:45Z,304,3298
2021-04-12T03:45Z,404,478
2021-04-12T03:45Z,302,712
2021-04-12T04:00Z,200,9712
2021-04-12T04:00Z,304,4017
2021-04-12T04:00Z,404,687
2021-04-12T04:00Z,500,227
2021-04-12T04:15Z,200,8470
2021-04-12T04:15Z,304,3830
2021-04-12T04:15Z,404,960
2021-04-12T04:15Z,302,613
2021-04-12T04:30Z,200,6826
2021-04-12T04:30Z,304,3501
2021-04-12T04:30Z,404,169
2021-04-12T04:30Z,500,327
2021-04-12T04:45Z,200,5717
2021-04-12T04:45Z,304,3586
2021-04-12T04:45Z,404,973
2021-04-12T05:00Z,200,6038
2021-04-12T05:00Z,304,3451
2021-04-12T05:00Z,404,284
2021-04-12T05:15Z,200,6653
2021-04-12T05:15Z,304,3215
2021-04-12T05:15Z,404,1068
2021-04-12T05:15Z,500,867
2021-04-12T05:30Z,200,12007
2021-04-12T05:30Z,304,3691
2021-04-12T05:30Z,404,1204
2021-04-12T05:30Z,302,516
2021-04-12T05:45Z,200,7816
2021-04-12T05:45Z,304,3813
2021-04-12T05:45Z,404,349
2021-04-12T06:00Z,200,6113
2021-04-12T06:00Z,304,3720
2021-04-12T06:00Z,404,1012
2021-04-12T06:15Z,200,7017
2021-04-12T06:15Z,304,4061
2021-04-12T06:15Z,404,1064
2021-04-12T06:30Z,200,6465
2021-04-12T06:30Z,304,4512
2021-04-12T06:30Z,404,478
2021-04-12T06:45Z,200,7441
2021-04-12T06:45Z,304,5483
2021-04-12T06:45Z,404,1443
2021-04-12T07:00Z,200,6575
2021-04-12T07:00Z,304,5203
2021-04-12T07:00Z,404,1025
2021-04-12T07:15Z,200,10149
2021-04-12T07:15Z,304,5291
2021-04-12T07:15Z,404,976
2021-04-12T07:30Z,200,9060
2021-04-12T07:30Z,304,5580
2021-04-12T07:30Z,404,404
2021-04-12T07:45Z,200,9259
2021-04-12T07:45Z,304,5489
2021-04-12T07:45Z,404,965
2021-04-12T08:00Z,200,7246
2021-04-12T08:00Z,304,5719
2021-04-12T08:00Z,404,1873
2021-04-12T08:15Z,200,8213
2021-04-12T08:15Z,304,5467
2021-04-12T08:15Z,404,605
2021-04-12T08:15Z,500,178
2021-04-12T08:15Z,302,851
2021-04-12T08:30Z,200,8686
2021-04-12T08:30Z,304,4697
2021-04-12T08:30Z,404,1516
2021-04-12T08:30Z,403,417
2021-04-12T08:30Z,302,787
2021-04-12T08:45Z,200,7923
2021-04-12T08:45Z,304,5325
2021-04-12T08:45Z,404,763
2021-04-12T09:00Z,200,7957
2021-04-12T09:00Z,304,6092
2021-04-12T09:00Z,404,665
2021-04-12T09:15Z,200,8753
2021-04-12T09:15Z,304,4918
2021-04-12T09:15Z,404,923
2021-04-12T09:15Z,302,13
2021-04-12T09:30Z,200,9085
2021-04-12T09:30Z,304,5351
2021-04-12T09:30Z,404,152
2021-04-12T09:30Z,302,352
2021-04-12T09:30Z,499,529
2021-04-12T09:45Z,200,10957
2021-04-12T09:45Z,304,6044
2021-04-12T09:45Z,404,2050
2021-04-12T10:00Z,200,9423
2021-04-12T10:00Z,304,5677
2021-04-12T10:00Z,404,822
2021-04-12T10:15Z,200,8619
2021-04-12T10:15Z,304,4957
2021-04-12T10:15Z,404,734
2021-04-12T10:30Z,200,7139
2021-04-12T10:30Z,304,4858
2021-04-12T10:30Z,404,1352
2021-04-12T10:30Z,302,13
2021-04-12T10:45Z,200,7958
2021-04-12T10:45Z,304,4521
2021-04-12T10:45Z,404,1314
2021-04-12T10:45Z,302,436
2021-04-12T10:45Z,500,855
2021-04-12T11:00Z,200,7598
2021-04-12T11:00Z,304,4652
2021-04-12T11:00Z,404,1410
2021-04-12T11:00Z,302,89
2021-04-12T11:00Z,499,541
2021-04-12T11:15Z,200,9137
2021-04-12T11:15Z,304,4419
2021-04-12T11:15Z,404,564
2021-04-12T11:15Z,302,698
2021-04-12T11:15Z,499,400
2021-04-12T11:30Z,200,8667
2021-04-12T11:30Z,304,4469
2021-04-12T11:30Z,404,244
2021-04-12T11:45Z,200,8046
2021-04-12T11:45Z,304,5538
2021-04-12T11:45Z,404,431
2021-04-12T11:45Z,499,890
2021-04-12T12:00Z,200,7790
2021-04-12T12:00Z,304,5547
2021-04-12T12:00Z,404,163
2021-04-12T12:15Z,200,8522
2021-04-12T12:15Z,304,5258
2021-04-12T12:15Z,404,1197
2021-04-12T12:15Z,302,977
2021-04-12T12:15Z,499,180
2021-04-12T12:30Z,200,8922
2021-04-12T12:30Z,304,5435
2021-04-12T12:30Z,404,1860
2021-04-12T12:30Z,302,304
2021-04-12T12:45Z,200,8971
2021-04-12T12:45Z,304,6487
2021-04-12T12:45Z,404,1863
2021-04-12T12:45Z,302,385
2021-04-12T13:00Z,200,9786
2021-04-12T13:00Z,304,5206
2021-04-12T13:00Z,404,2599
2021-04-12T13:00Z,499,961
2021-04-12T13:15Z,200,9392
2021-04-12T13:15Z,304,6119
2021-04-12T13:15Z,404,3208
2021-04-12T13:30Z,200,9717
2021-04-12T13:30Z,304,5446
2021-04-12T13:30Z,404,2433
